 Recursos Federais do SUS (por Município) - Conceito de Período de Competência - Paraná
Valor despendido por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2006
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
".. Inc. realiz. Capacitações Aprovadas no VIGISUS";-;-;-;-;-;-;-;-;-;527380,00;-;527380,00
".. Incent. Implantação dos Sistemas SIM e SINASC";-;-;-;-;-;-;-;-;125440,00;-;-;125440,00
".. Incentivo Estabelecimento de Parcerias com as O";-;-;-;-;-;-;-;-;-;150800,00;138233,37;289033,37
".. Incentivo Formação dos Agentes Comunitários Saú";-;-;-;-;-;-;-;-;-;173400,00;287250,00;460650,00
".. Incentivo a ações básicas vigilância sanitária";-;-;1653084,40;2319581,44;2343898,68;2187338,75;2423679,96;2442151,84;2465379,46;2476718,76;3099131,52;21410964,81
".. Incentivo adicional PACS";-;-;-;-;-;-;2188320,00;2347200,00;2724800,00;3173100,00;3874500,00;14307920,00
".. Incentivo ações combate a carência nutricional";-;-;1592167,50;5730210,00;6034365,00;6057517,50;3270735,00;-;-;-;-;22684995,00
".. Incentivo fortalec lab centr saúde pública - LA";-;-;-;-;-;-;-;-;-;257628,00;515256,00;772884,00
".. Incentivo para Casa de Apoio HIV/AIDS";-;-;-;-;-;-;-;-;-;523200,00;479600,00;1002800,00
".. Incentivo à Farmácia Popular do Brasil";-;-;-;-;-;-;-;-;-;700000,00;200000,00;900000,00
".. Incentivo à Saúde no Sistema Penitenciário";-;-;-;-;-;-;-;210042,00;-;-;-;210042,00
".. Incentivo à saúde bucal";-;-;-;-;-;1871248,93;4093745,99;7022548,40;11991400,00;17196800,00;20311800,00;62487543,32
".. Incentivo às Ações de Controle da Tuberculose";-;-;-;-;-;-;-;76850,00;-;99530,09;38250,00;214630,09
".. Intensific Ações Vigilância e Controle da Tuber";-;-;-;-;-;-;-;384925,09;204688,54;29171,08;-;618784,71
".. Medicamentos dos Grupos AR 0,95";-;-;-;-;-;-;-;-;-;-;5908631,25;5908631,25
".. Medicamentos dos Grupos HD 1,15";-;-;-;-;-;-;-;-;-;-;7770465,76;7770465,76
".. Medicamentos para saúde mental";-;-;-;317138,97;1162842,89;1268555,88;1268555,88;1268555,88;1268555,88;1268555,88;1162842,89;8985604,15
".. Piso de Atenção Básica - ampliado";-;-;-;-;-;-;4395759,06;2638998,00;-;-;-;7034757,06
".. Piso de atenção básica - fixo";-;-;84667274,83;110339852,70;110570416,38;111201746,19;107457015,11;113586149,02;124143136,48;133968093,61;131694547,27;1027628231,59
".. Programa Farmácia Popular do Brasil";-;-;-;-;-;-;-;-;-;110000,00;540000,00;650000,00
".. Programa Financ. Ações Alimentação Nutrição (FA";-;-;-;-;-;-;-;-;-;-;200000,00;200000,00
".. Programa agentes comunitários de saúde";-;-;4309850,05;9328733,51;14268604,56;14457714,68;20653516,60;26276280,00;25626060,00;35060100,00;40262800,00;190243659,40
".. Programa de Expansão do PROESF - PLUS";-;-;-;-;-;-;-;-;-;1178500,00;274000,00;1452500,00
".. Programa de Expansão do PSF - PROESF";-;-;-;-;-;-;-;2022500,00;3127000,00;2174654,00;49793,00;7373947,00
".. Programa de Saúde da Família";-;-;2587665,68;5522883,26;28566197,00;39328651,50;50746735,00;64766378,00;79130635,00;74832985,00;87440496,00;432922626,44
".. Projeto similar ao PSF";-;-;-;-;-;-;-;6000,00;7500,00;3000,00;-;16500,00
".. Registro de Câncer de Base Populacional - RCBP";-;-;-;-;-;-;-;-;-;-;32000,00;32000,00
".. Sistema integrado saúde fronteiras - SISFRONTEI";-;-;-;-;-;-;-;-;-;455259,01;386718,56;841977,57
".. Vacinação poliomielite";-;-;-;-;-;287792,10;-;276147,60;270057,30;269823,60;258676,92;1362497,52
"Transferências - ações estratégicas";-;-;-;-;-;20556736,51;84160412,83;135770110,57;158884312,64;182959769,11;170216819,93;752548161,59
".. AIDS - Ações Estratégicas";-;-;-;-;-;142020,00;260253,00;362913,00;405147,00;362874,00;376950,00;1910157,00
".. Acomp. Pac. Saúde Mental - Ações Estratégic. -";-;-;-;-;-;-;-;2173569,30;3275412,00;4662430,55;5135504,75;15246916,60
".. Acomp. de paciente - Ações Estratégicas - SIA";-;-;-;-;-;925140,00;17179817,60;33602896,83;40439999,30;38832313,71;25379733,49;156359900,93
".. Acomp. pós transplante - Ações Estratégicas";-;-;-;-;-;1428252,40;4653670,73;5261695,62;7095691,15;15612624,40;16448967,04;50500901,34
".. Acompanh. a def. auditivo - Ações Estratégicas";-;-;-;-;-;1422493,00;9000,00;-;87555,25;4482956,37;14634668,94;20636673,56
".. Aids - Ações Estratégicas - AIH";-;-;-;-;-;-;-;46110,00;75720,00;93880,00;109180,00;324890,00
".. Angioplastia endovascular - SIH";-;-;-;-;-;-;84901,33;578670,59;1909349,92;2414953,49;2399093,61;7386968,94
".. Assistência domiciliar - Ações Estratégicas SIA";-;-;-;-;-;-;3303,15;24723,75;38161,50;77611,20;96917,10;240716,70
".. Assistência pré-natal - AIH";-;-;-;-;-;45720,00;956560,00;1796320,00;1761320,00;1661520,00;1726640,00;7948080,00
".. Cadastro Nac. de Estabelecimentos de Saúde - CN";-;-;-;-;-;-;-;2600,00;-;-;-;2600,00
".. Campanha de oftalmologia - Ações Estratégicas";-;-;-;-;-;3647563,19;5784619,84;828225,75;-;-;-;10260408,78
".. Cardio CNRAC - AIH";-;-;-;-;-;-;4336,46;-;-;-;-;4336,46
".. Central de Regulação - Ações Estratégicas";-;-;-;-;-;-;-;1663491,09;3147445,48;2425270,29;863034,11;8099240,97
".. Central de Regulação - Ações Estratétgicas - SI";-;-;-;-;-;-;-;-;22652,66;12106,32;-;34758,98
".. Cirurgias de alta freqüência - Ações Estratégic";-;-;-;-;-;3110,25;-;-;-;-;-;3110,25
".. Cirurgias eletivas - Ações Estratégicas";-;-;-;-;-;-;215031,44;-;-;-;-;215031,44
".. Câncer de colo uterino - Ações Estratégicas";-;-;-;-;-;2222306,82;4740595,44;3455632,88;4005173,18;4710076,47;3664022,24;22797807,03
".. Defic. auditiva escolar - Ações Estratégicas -";-;-;-;-;-;1932,00;1428,00;-;-;25724,00;-;29084,00
".. Deform. crânio-facial - Ações Estratégicas - SI";-;-;-;-;-;468,00;4008,00;-;-;-;-;4476,00
".. Deformidade crânio-facial - Ações Estrategicas";-;-;-;-;-;378612,59;477664,84;479780,82;842656,76;756947,21;576409,96;3512072,18
".. Epilepsia - SIH";-;-;-;-;-;-;-;40240,25;34183,82;-;-;74424,07
".. Fisioterapia -  - Ações Estratégicas SIA";-;-;-;-;-;-;29717,12;346806,72;343370,56;480049,96;423707,32;1623651,68
".. Gastroplastia - Ações Estratégicas";-;-;-;-;-;3039,59;275778,50;732162,30;1147604,26;1459935,30;1318688,08;4937208,03
".. Geriatria - Ações Estratégicas - AIH";-;-;-;-;-;-;-;-;-;69,51;-;69,51
".. HIV/AIDS - Fórmula Infantil Adicional";-;-;-;-;-;-;-;57706,44;57706,43;115412,87;115412,87;346238,61
".. Histocompatibilidade - Ações Estratégicas";-;-;-;-;-;952949,28;-;-;-;-;-;952949,28
".. Humanização do parto - Ações Estratégicas";-;-;-;-;-;198610,00;590510,00;-;-;-;-;789120,00
".. Incentivo CNRAC - Ações Estratégicas - SIA";-;-;-;-;-;-;-;940,76;11312,89;-;-;12253,65
".. Leucemia mielóide - SIA";-;-;-;-;-;-;746847,00;1360329,00;3071818,50;4468599,00;3443031,50;13090625,00
".. Multirão de Cirurgias Eletivas Média Complexida";-;-;-;-;-;-;-;-;640423,32;5992555,37;7917916,10;14550894,79
".. Neonatal - Ações Estratégicas- SIA";-;-;-;-;-;1212419,00;4547451,00;4433454,50;4601181,00;4862260,00;3838023,50;23494789,00
".. Neuro CNRAC - AIH";-;-;-;-;-;-;35321,86;-;-;-;-;35321,86
".. Neurocirurgia - SIH";-;-;-;-;-;-;-;860043,19;2509852,15;3097963,81;3440829,86;9908689,01
".. Ortodontia - Ações Estratégicas";-;-;-;-;-;94503,28;205500,57;198519,22;240368,13;253387,62;171995,39;1164274,21
".. Osteogenesis Imperfecta - AIH";-;-;-;-;-;-;-;-;-;5631,50;18178,88;23810,38
".. Patologia clínica - Ações Estratégicas SIA";-;-;-;-;-;-;5886,31;110457,91;168685,28;2991,84;132605,04;420626,38
".. Prog Nac de Atenção a usuários de álcool e drog";-;-;-;-;-;-;100000,00;-;-;-;-;100000,00
".. Programa Nac. Avaliação Serviços de Saúde - PNA";-;-;-;-;-;-;-;-;-;33080,00;-;33080,00
".. Protetização - SIA";-;-;-;-;-;-;2662442,00;-;-;1410,00;-;2663852,00
".. Pré-natal - Ações Estratégicas";-;-;-;-;-;105490,00;616750,00;1297460,00;1375420,00;1622280,00;1458380,00;6475780,00
".. Próstata - Ações Estratégicas";-;-;-;-;-;609904,71;1297069,18;1153190,62;819039,50;30901,77;3865,82;3913971,60
".. Próstata - Ações Estratégicas - AIH";-;-;-;-;-;-;-;-;145410,41;790214,34;109929,63;1045554,38
".. Prótese Dentária - Ações Estratégicas - SIA";-;-;-;-;-;-;-;-;-;99470,00;388480,00;487950,00
".. Psicodiagnóstico - Ações Estratégicas SIA";-;-;-;-;-;-;1219,30;14837,10;19810,20;64962,66;68278,06;169107,32
".. Queimados - Ações Estratégicas";-;-;-;-;-;211351,96;389305,44;2012116,73;3340606,18;2928767,49;2646266,89;11528414,69
".. Reabilitação - Ações Estratégicas";-;-;-;-;-;18433,10;139944,00;691844,30;1394286,70;1860586,25;2349717,29;6454811,64
".. Registro Civil e Nascimento - AIH";-;-;-;-;-;-;30855,00;99640,00;123650,00;131250,00;80710,00;466105,00
".. Retinopatia Diabética - Ações Estratégicas - AI";-;-;-;-;-;-;-;656822,62;849765,04;809192,59;85413,20;2401193,45
".. Retinopatia Diabética - Ações Estratégicas - SI";-;-;-;-;-;-;-;155408,12;204819,86;200193,84;6631,80;567053,62
".. Síndr. Resp. Aguda Grave - Ações Estratégic. -";-;-;-;-;-;-;-;200000,00;-;-;-;200000,00
".. Tabagismo - Ações Estratégicas SIA";-;-;-;-;-;-;-;1944,10;3399,86;256,00;-;5599,96
".. Terapia e psicoterapia - Ações Estratégicas SIA";-;-;-;-;-;-;22411,90;246403,91;474633,55;923628,16;787033,54;2454111,06
".. Terapia renal substitutiva - SIA";-;-;-;-;-;-;25272995,60;57553366,07;61200196,58;65131382,56;61838480,16;270996420,97
".. Transplantes - Ações Estratégicas";-;-;-;-;-;5038922,80;8955690,72;9413073,72;10252020,57;9014839,19;7690143,13;50364690,13
".. Tuberculose - Ações Estratégicas";-;-;-;-;-;256023,80;417734,00;194300,40;211801,80;250458,60;239899,80;1570218,40
".. Varizes - Ações Estratégicas";-;-;-;-;-;1636790,74;3437373,50;3634932,96;2536661,85;2196750,87;232080,83;13674590,75
".. Vistoria PNASCH - Ações Estratégicas";-;-;-;-;-;680,00;4420,00;27480,00;-;-;-;32580,00
"Total";41647655,39;512856252,94;578144703,15;670663245,28;716395842,60;802127098,14;917742309,53;1025846736,21;1140908356,33;1250496398,67;1295113452,30;8951942050,54
 Fonte: Ministério da Saúde - SIH/SUS, SIA/SUS e Fundo Nacional de Saúde
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
