 Recursos Federais do SUS (por Município) - Conceito de Período de Competência - Minas Gerais
Valor despendido por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2006
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
".. Projeto Inclusão Social Trabalho (Saúde Mental)";-;-;-;-;-;-;-;-;-;-;45000,00;45000,00
".. Serviços Atendimento Móvel de Urgências - SAMU";-;-;-;-;-;-;-;-;2079500,00;11431000,00;13642500,00;27153000,00
".. Terapia renal substituitiva";-;-;-;-;124330,76;-;-;-;-;-;-;124330,76
".. Transferências extraordinárias";-;17305593,00;-;-;-;-;-;-;-;-;-;17305593,00
".. Transplantes";-;-;-;2161163,42;2705930,47;2374224,78;-;-;-;-;-;7241318,67
".. Urgência e emergência - extra teto";-;-;4255670,78;7417321,04;-;-;-;-;-;-;-;11672991,82
"Transferências - atenção básica";-;-;175529771,95;255466603,56;336023528,29;390698470,66;436789674,77;498502345,19;586108449,42;643856542,22;730150525,46;4053125911,52
".. Anvisa - Taxa de fiscalização";-;-;-;-;-;1469873,49;2670005,34;-;1954489,75;3305294,28;3149649,91;12549312,77
".. Apoio à população indígena";-;-;-;57100,00;777000,00;800390,00;1055220,00;1139000,00;1464280,00;2325820,00;2488500,00;10107310,00
".. Ações Red. Mortalidade Materna e Neonatal - PRO";-;-;-;-;-;-;-;-;-;268548,00;-;268548,00
".. Ações de diagnóstico laboratorial da tuberculos";-;-;-;-;-;-;-;-;-;25000,00;-;25000,00
".. Ações vigil e prevenção doenças agravos não tra";-;-;-;-;-;-;-;-;-;440565,00;-;440565,00
".. Cadastro nacional de usuários do SUS";-;-;-;-;-;946183,24;2154980,78;744482,00;300463,10;134777,20;-;4280886,32
".. Campanha de Vacinação - Tríplice Viral";-;-;-;-;-;-;-;-;477854,63;-;-;477854,63
".. Capacitação Pessoal Ações de Controle Dengue";-;-;-;-;-;-;-;-;-;-;150000,00;150000,00
".. Epidemiologia e controle de doenças";-;-;-;-;32637678,22;58605042,68;60065092,56;62687882,32;64507761,51;66964175,36;60141050,26;405608682,91
".. Epidemiologia e controle de doenças (adicional)";-;-;-;-;-;-;271255,57;2200738,51;3689668,98;4425279,60;4081506,30;14668448,96
".. Farmácia básica";-;-;-;12806056,26;17278480,68;17634845,79;18109509,12;16746073,43;19479416,58;25675092,89;28758892,47;156488367,22
".. Financ aos Centros de Referência Saúde Trabalha";-;-;-;-;-;-;228000,00;1384000,00;1944000,00;2020000,00;3092000,00;8668000,00
".. Formação Profissional Agentes Comunitários Saúd";-;-;-;-;-;-;-;-;-;2646400,00;5256439,99;7902839,99
".. Inc. Fortalecimento Gestão de Vigilância em Saú";-;-;-;-;-;-;-;-;-;2742195,18;4195521,32;6937716,50
".. Inc. Hosp. Subsist. Vig. Ep. en Âmbito Hospital";-;-;-;-;-;-;-;-;-;-;182000,00;182000,00
".. Inc. Intens. Ações Vigilância Controle Hansenía";-;-;-;-;-;-;-;-;62783,20;233666,86;30000,00;326450,06
".. Inc. Pesq. Acidentes Violências Serviços Sentin";-;-;-;-;-;-;-;-;-;-;21129,00;21129,00
".. Inc. Realiz. Levant. Índice Rápido - Aedes Aegy";-;-;-;-;-;-;-;-;74599,51;-;-;74599,51
".. Inc. adic. ao Prog. de Interior. do Trab em Saú";-;-;-;-;-;90000,00;40000,00;40000,00;-;-;-;170000,00
".. Inc. realiz. Capacitações Aprovadas no VIGISUS";-;-;-;-;-;-;-;-;-;-;573720,00;573720,00
".. Incent. Desenv. Ativ. Inq. Nac. Prev. do Tracom";-;-;-;-;-;-;-;-;-;-;10000,00;10000,00
".. Incent. Implantação dos Sistemas SIM e SINASC";-;-;-;-;-;-;-;-;259840,00;-;-;259840,00
".. Incentivo Estabelecimento de Parcerias com as O";-;-;-;-;-;-;-;-;-;812000,00;744333,37;1556333,37
".. Incentivo Formação dos Agentes Comunitários Saú";-;-;-;-;-;-;-;-;-;481710,00;466860,00;948570,00
".. Incentivo a ações básicas vigilância sanitária";-;-;2817685,53;4206450,41;4345076,03;4382245,62;4511303,64;4176816,44;4607728,38;4636143,63;5804607,57;39488057,25
".. Incentivo adicional PACS";-;-;-;-;-;-;3828960,00;4301040,00;5197400,00;6184800,00;8102150,00;27614350,00
".. Incentivo ações combate a carência nutricional";-;-;1919205,00;9079942,50;12813930,00;12736766,25;8466930,00;-;-;-;-;45016773,75
".. Incentivo descentr. unidades saúde FUNASA - PAB";-;-;-;-;-;-;186400,00;654900,00;663600,00;663600,00;165900,00;2334400,00
".. Incentivo descentr. unidades saúde FUNASA - Ple";-;-;-;-;-;-;34800,00;8700,00;-;-;-;43500,00
".. Incentivo fortalec lab centr saúde pública - LA";-;-;-;-;-;-;-;-;-;812232,00;2424464,00;3236696,00
".. Incentivo para Casa de Apoio HIV/AIDS";-;-;-;-;-;-;-;-;-;210000,00;192500,00;402500,00
".. Incentivo à Farmácia Popular do Brasil";-;-;-;-;-;-;-;-;50000,00;1100000,00;1150000,00;2300000,00
".. Incentivo à Saúde no Sistema Penitenciário";-;-;-;-;-;-;-;170034,00;53344,00;291725,00;465093,00;980196,00
".. Incentivo à descentralização de unidades Funasa";-;-;-;406350,29;856752,13;740860,33;518890,92;-;-;-;-;2522853,67
".. Incentivo à saúde bucal";-;-;-;-;-;768499,66;4344914,12;8614648,57;18041900,00;24930650,00;32112450,00;88813062,35
".. Incentivo às Ações de Controle da Tuberculose";-;-;-;-;-;-;-;177750,00;-;83447,54;51000,00;312197,54
".. Inserção dos Antigos Hospitais Colônias - SVS";-;-;-;-;-;-;-;-;-;-;600000,00;600000,00
".. Intensific Ações Vigilância e Controle da Tuber";-;-;-;-;-;-;-;503604,25;228025,40;184507,06;-;916136,71
".. Medicamentos dos Grupos HD 1,15";-;-;-;-;-;-;-;-;-;-;14560006,26;14560006,26
".. Medicamentos para saúde mental";-;-;-;976736,30;2148819,86;2344167,12;2344167,12;2344167,12;2344167,12;2344167,12;2148819,86;16995211,62
".. Piso de atenção básica - fixo";-;-;152634193,11;193574646,92;193891376,50;196329706,84;189376044,79;201667497,35;222759702,76;247228603,40;244751382,53;1842213154,20
".. Programa Farmácia Popular do Brasil";-;-;-;-;-;-;-;-;-;60000,00;1120000,00;1180000,00
".. Programa Financ. Ações Alimentação Nutrição (FA";-;-;-;-;-;-;-;-;-;-;220000,00;220000,00
".. Programa agentes comunitários de saúde";-;-;5324692,29;10008947,15;19582301,87;27503221,04;36602666,81;47720320,00;53716320,00;69730240,00;83247200,00;353435909,16
".. Programa de Expansão do PROESF - PLUS";-;-;-;-;-;-;-;-;-;1700500,00;-;1700500,00
".. Programa de Expansão do PSF - PROESF";-;-;-;-;-;-;-;1833000,00;5878390,00;3407525,50;597426,50;11716342,00
".. Programa de Saúde da Família";-;-;12833996,02;24350373,73;51692113,00;65169242,00;101980534,00;140214424,00;176655036,00;166570172,00;217960894,00;957426784,75
".. Registro de Câncer de Base Populacional - RCBP";-;-;-;-;-;-;-;-;-;-;40000,00;40000,00
".. Vacinação Contra o Tétano Neonatal";-;-;-;-;-;-;-;-;510832,00;-;-;510832,00
".. Vacinação poliomielite";-;-;-;-;-;1177426,60;-;1173267,20;1186846,50;1217704,60;1095029,12;5850274,02
"Transferências - ações estratégicas";-;-;-;-;-;15608825,46;81787412,21;173922839,68;197233963,04;232841947,18;230779557,31;932174544,88
".. AIDS - Ações Estratégicas";-;-;-;-;-;15405,00;309564,00;374841,00;468192,00;505929,00;611457,00;2285388,00
".. Acomp. Pac. Saúde Mental - Ações Estratégic. -";-;-;-;-;-;-;-;6325206,35;12020829,20;15618407,10;16417471,60;50381914,25
".. Acomp. de paciente - Ações Estratégicas - SIA";-;-;-;-;-;-;905402,00;1315859,95;1454339,87;7249229,75;10530900,54;21455732,11
".. Acomp. pós transplante - Ações Estratégicas";-;-;-;-;-;1192664,04;2825584,84;2906062,10;5846136,18;11128997,70;11949447,04;35848891,90
".. Acompanh. a def. auditivo - Ações Estratégicas";-;-;-;-;-;15516,00;13020,00;1116,00;-;243139,68;13205438,34;13478230,02
".. Aids - Ações Estratégicas - AIH";-;-;-;-;-;-;-;19370,00;89060,00;216350,00;301299,75;626079,75
".. Angioplastia endovascular - SIH";-;-;-;-;-;-;-;92467,53;525585,32;1107879,89;1250758,18;2976690,92
".. Assistência domiciliar - Ações Estratégicas SIA";-;-;-;-;-;-;14589,15;218777,40;230938,45;877683,15;1054226,40;2396214,55
".. Assistência pré-natal - AIH";-;-;-;-;-;7960,00;339360,00;1430000,00;1925000,00;2159760,00;2202215,00;8064295,00
".. Cadastro Nac. de Estabelecimentos de Saúde - CN";-;-;-;-;-;-;-;42220,00;-;-;-;42220,00
".. Campanha de oftalmologia - Ações Estratégicas";-;-;-;-;-;2292073,29;5697074,88;1211551,63;376038,84;163163,61;-;9739902,25
".. Catarata - Ações Estratégicas - AIH";-;-;-;-;-;-;-;44273,61;-;-;-;44273,61
".. Central de Regulação - Ações Estratégicas";-;-;-;-;-;-;-;153383,79;135380,49;106667,28;85987,13;481418,69
".. Cirurgias de alta freqüência - Ações Estratégic";-;-;-;-;-;3807,70;-;-;-;-;-;3807,70
".. Cirurgias eletivas - Ações Estratégicas";-;-;-;-;-;222825,87;2966933,74;-;-;-;-;3189759,61
".. Câncer de colo uterino - Ações Estratégicas";-;-;-;-;-;2550996,63;5730224,41;5911816,64;6933421,83;7155239,32;5786394,61;34068093,44
".. Defic. auditiva escolar - Ações Estratégicas -";-;-;-;-;-;-;180,00;-;-;-;-;180,00
".. Deform. crânio-facial - Ações Estratégicas - SI";-;-;-;-;-;6670,39;6132,00;-;-;-;-;12802,39
".. Deformidade crânio-facial - Ações Estrategicas";-;-;-;-;-;21032,71;50265,67;28416,85;50659,92;93704,95;282027,55;526107,65
".. Fisioterapia -  - Ações Estratégicas SIA";-;-;-;-;-;-;57083,68;869308,36;1120093,19;1670473,11;2466696,37;6183654,71
".. Gastroplastia - Ações Estratégicas";-;-;-;-;-;9824,83;69033,44;65027,85;84172,94;28361,22;27935,86;284356,14
".. HIV/AIDS - Fórmula Infantil Adicional";-;-;-;-;-;-;-;61966,52;185899,56;43533,04;43533,04;334932,16
".. Histocompatibilidade - Ações Estratégicas";-;-;-;-;-;588202,55;-;-;-;-;-;588202,55
".. Humanização do parto - Ações Estratégicas";-;-;-;-;-;55910,00;124730,00;-;-;-;-;180640,00
".. Leptospirose - Ações Estratégicas";-;-;-;-;-;-;-;-;2348,50;-;-;2348,50
".. Leucemia mielóide - SIA";-;-;-;-;-;-;1897220,00;4725462,50;6899998,00;7891793,50;7843820,00;29258294,00
".. Multirão de Cirurgias Eletivas Média Complexida";-;-;-;-;-;-;-;-;1432607,16;7396185,04;3819937,97;12648730,17
".. Neonatal - Ações Estratégicas- SIA";-;-;-;-;-;3439,00;94838,00;497990,50;867285,00;59621,50;43053,50;1566227,50
".. Neuro CNRAC - AIH";-;-;-;-;-;-;49515,48;-;-;-;-;49515,48
".. Neurocirurgia - SIH";-;-;-;-;-;-;108963,00;246530,29;347654,16;636323,84;478468,37;1817939,66
".. Ortodontia - Ações Estratégicas";-;-;-;-;-;47995,62;18139,86;58362,97;73738,79;133830,16;216762,66;548830,06
".. Patologia clínica - Ações Estratégicas SIA";-;-;-;-;-;-;1255,92;101473,29;125065,24;232737,20;227988,48;688520,13
".. Prog Nac de Atenção a usuários de álcool e drog";-;-;-;-;-;-;100000,00;-;-;-;-;100000,00
".. Programa Nac. Avaliação Serviços de Saúde - PNA";-;-;-;-;-;-;-;-;-;48320,00;-;48320,00
".. Protetização - SIA";-;-;-;-;-;-;1105546,00;-;-;-;-;1105546,00
".. Pré-natal - Ações Estratégicas";-;-;-;-;-;20930,00;179230,00;753790,00;1213710,00;1436390,00;1244500,00;4848550,00
".. Próstata - Ações Estratégicas";-;-;-;-;-;774150,35;1861864,35;2647504,47;1846941,85;148972,37;116149,59;7395582,98
".. Próstata - Ações Estratégicas - AIH";-;-;-;-;-;-;-;-;348527,59;1826771,56;305391,47;2480690,62
".. Prótese Dentária - Ações Estratégicas - SIA";-;-;-;-;-;-;-;-;-;5030,00;60460,00;65490,00
".. Psicodiagnóstico - Ações Estratégicas SIA";-;-;-;-;-;-;13708,22;269048,82;359816,80;393184,52;384405,56;1420163,92
".. Queimados - Ações Estratégicas";-;-;-;-;-;874854,60;1039923,87;1927015,51;2067830,16;2395385,59;1844379,80;10149389,53
".. Reabilitação - Ações Estratégicas";-;-;-;-;-;65263,60;406244,85;1838089,60;3305321,95;5671960,50;6275626,80;17562507,30
".. Registro Civil e Nascimento - AIH";-;-;-;-;-;-;28725,00;156455,00;196210,00;216285,00;95733,62;693408,62
".. Retinopatia Diabética - Ações Estratégicas - AI";-;-;-;-;-;-;-;653356,42;641305,60;631792,58;91473,53;2017928,13
".. Retinopatia Diabética - Ações Estratégicas - SI";-;-;-;-;-;-;-;107159,99;203317,45;179516,89;51998,45;541992,78
".. Síndr. Resp. Aguda Grave - Ações Estratégic. -";-;-;-;-;-;-;-;100000,00;-;-;-;100000,00
".. Terapia e psicoterapia - Ações Estratégicas SIA";-;-;-;-;-;-;219619,05;2430163,75;2990286,36;4545450,81;5900430,75;16085950,72
".. Terapia renal substitutiva - SIA";-;-;-;-;-;-;44269919,00;119588925,53;127822321,94;136738693,86;127965232,46;556385092,79
".. Transplantes - Ações Estratégicas";-;-;-;-;-;4957977,85;6943234,88;9450946,92;8662162,91;8467672,01;6437868,13;44919862,70
".. Transplantes - Ações Estratégicas - SIA";-;-;-;-;-;-;-;-;1272,00;-;-;1272,00
".. Tuberculose - Ações Estratégicas";-;-;-;-;-;216738,43;344597,60;262483,20;336541,80;358940,40;428992,20;1948293,63
".. Varizes - Ações Estratégicas";-;-;-;-;-;1662447,00;3987289,32;7036415,34;6043951,99;5058571,05;731095,56;24519770,26
".. Vistoria PNASCH - Ações Estratégicas";-;-;-;-;-;2140,00;8400,00;-;-;-;-;10540,00
"Total";71044116,73;911422169,12;979478156,42;1090833561,88;1255484945,27;1414926540,98;1553630705,17;1698025312,03;1911583825,47;2023043586,08;2153220788,81;15062693707,96
 Fonte: Ministério da Saúde - SIH/SUS, SIA/SUS e Fundo Nacional de Saúde
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
