 Recursos Federais do SUS (por Município) - Conceito de Período de Competência - São Paulo
Valor despendido por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2006
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
".. Epidemiologia e controle de doenças (adicional)";-;-;-;-;-;-;1318542,08;8087732,73;9473235,82;10334224,92;9473039,51;38686775,06
".. Farmácia básica";-;-;-;29581017,56;35816738,88;36671013,48;37630105,68;34859354,34;38177741,88;46325453,35;58547855,08;317609280,25
".. Financ aos Centros de Referência Saúde Trabalha";-;-;-;-;-;-;290000,00;3590000,00;6456000,00;6624000,00;5146000,00;22106000,00
".. Formação Profissional Agentes Comunitários Saúd";-;-;-;-;-;-;-;-;-;3040566,67;1672066,67;4712633,34
".. Inc. Apoio Lab. Monitoramento do AEDES AEGYPTI";-;-;-;-;-;-;-;-;-;45000,00;55000,00;100000,00
".. Inc. Fortalecimento Gestão de Vigilância em Saú";-;-;-;-;-;-;-;-;-;4185920,21;5030754,84;9216675,05
".. Inc. Hosp. Subsist. Vig. Ep. en Âmbito Hospital";-;-;-;-;-;-;-;-;-;341000,00;964000,00;1305000,00
".. Inc. Intens. Ações Vigilância Controle Hansenía";-;-;-;-;-;-;-;-;27000,00;66761,96;30000,00;123761,96
".. Inc. Pesq. Acidentes Violências Serviços Sentin";-;-;-;-;-;-;-;-;-;-;190161,00;190161,00
".. Inc. Realiz. Levant. Índice Rápido - Aedes Aegy";-;-;-;-;-;-;-;-;204699,99;-;-;204699,99
".. Inc. realiz. Capacitações Aprovadas no VIGISUS";-;-;-;-;-;-;-;-;-;676550,00;-;676550,00
".. Incent. Implantação dos Sistemas SIM e SINASC";-;-;-;-;-;-;-;-;197120,00;-;-;197120,00
".. Incentivo Estabelecimento de Parcerias com as O";-;-;-;-;-;-;-;-;-;2037400,00;1720949,97;3758349,97
".. Incentivo Formação dos Agentes Comunitários Saú";-;-;-;-;-;-;-;-;-;268610,00;-;268610,00
".. Incentivo a ações básicas vigilância sanitária";-;-;4031530,61;6142705,67;6310262,68;8740573,54;9400773,72;9501354,65;9615028,26;9675589,98;12193012,75;75610831,86
".. Incentivo adicional PACS";-;-;-;-;-;-;3220800,00;3847920,00;4463160,00;5442600,00;7086100,00;24060580,00
".. Incentivo ações combate a carência nutricional";-;-;2947252,50;8343922,50;9308317,50;9789842,50;7625385,00;-;-;-;-;38014720,00
".. Incentivo fortalec lab centr saúde pública - LA";-;-;-;-;-;-;-;-;-;131420,00;1485697,12;1617117,12
".. Incentivo para Casa de Apoio HIV/AIDS";-;-;-;-;-;-;-;-;-;1632600,00;1608000,00;3240600,00
".. Incentivo à Farmácia Popular do Brasil";-;-;-;-;-;-;-;-;400000,00;2200000,00;500000,00;3100000,00
".. Incentivo à Saúde no Sistema Penitenciário";-;-;-;-;-;-;-;2425485,00;-;1123558,00;1653664,00;5202707,00
".. Incentivo à saúde bucal";-;-;-;-;-;1488916,01;3365330,44;5608198,63;11609200,00;15237150,00;16898000,00;54206795,08
".. Incentivo às Ações de Controle da Tuberculose";-;-;-;-;-;-;-;691700,00;-;816309,67;51000,00;1559009,67
".. Incorp. Ações Vigilância Ambiental por Meio do";-;-;-;-;-;-;-;-;-;700000,00;-;700000,00
".. Inserção dos Antigos Hospitais Colônias - SVS";-;-;-;-;-;-;-;-;-;-;404800,00;404800,00
".. Intensific Ações Vigilância e Controle da Tuber";-;-;-;-;-;-;-;-;818156,27;415396,15;-;1233552,42
".. Medicamentos dos Grupos AR 0,95";-;-;-;-;-;-;-;-;-;-;25222645,28;25222645,28
".. Medicamentos dos Grupos HD 1,15";-;-;-;-;-;-;-;-;-;-;30532674,08;30532674,08
".. Medicamentos para saúde mental";-;-;-;806523,58;4435879,69;4839141,48;4839141,48;4839141,48;4839141,48;4839141,48;4435879,69;33873990,36
".. Piso de Atenção Básica - ampliado";-;-;-;-;-;-;5720563,23;16459080,51;-;-;-;22179643,74
".. Piso de atenção básica - fixo";-;-;192304498,61;340769616,05;371621493,16;363457531,80;382938256,20;420567940,23;475012755,88;506386919,84;504383109,47;3557442121,24
".. Programa Farmácia Popular do Brasil";-;-;-;-;-;-;-;-;1120000,00;2180000,00;4870000,00;8170000,00
".. Programa Financ. Ações Alimentação Nutrição (FA";-;-;-;-;-;-;-;-;-;-;220000,00;220000,00
".. Programa agentes comunitários de saúde";-;-;2804491,48;4954032,54;11821888,08;18983382,57;30044283,62;42451320,00;47373280,00;62304820,00;73486550,00;294224048,29
".. Programa de Expansão do PROESF - PLUS";-;-;-;-;-;-;-;-;-;1100650,00;46500,00;1147150,00
".. Programa de Expansão do PSF - PROESF";-;-;-;-;-;-;-;3190700,00;9637845,50;11026295,50;837412,70;24692253,70
".. Programa de Saúde da Família";-;-;2760916,14;5806175,25;29836184,00;46235930,00;70485223,00;100956182,00;126858943,50;114612758,00;146201533,00;643753844,89
".. Projeto similar ao PSF";-;-;-;-;-;3000,00;16500,00;12000,00;-;-;-;31500,00
".. Registro de Câncer de Base Populacional - RCBP";-;-;-;-;-;-;-;-;-;-;92000,00;92000,00
".. Vacinação poliomielite";-;-;-;-;-;962548,50;-;1003197,60;990184,20;1000747,50;881248,96;4837926,76
"Transferências - ações estratégicas";-;-;-;-;-;16596432,82;67882660,90;291383825,51;663833880,47;734674218,47;646168077,54;2420539095,71
".. AIDS - Ações Estratégicas";-;-;-;-;-;10101,00;134769,00;1502237,00;4136163,00;4377240,00;3816348,00;13976858,00
".. Acomp. Pac. Saúde Mental - Ações Estratégic. -";-;-;-;-;-;-;-;7594823,75;17806137,10;24535870,60;21536572,00;71473403,45
".. Acomp. de paciente - Ações Estratégicas - SIA";-;-;-;-;-;589600,00;8106199,10;32744846,98;89474766,39;62724821,83;7414699,25;201054933,55
".. Acomp. pós transplante - Ações Estratégicas";-;-;-;-;-;256860,88;702754,77;8550375,06;28807068,83;36676867,92;37083335,88;112077263,34
".. Acompanh. a def. auditivo - Ações Estratégicas";-;-;-;-;-;486310,00;18768,00;12,00;269378,75;14084047,23;39847055,66;54705571,64
".. Aids - Ações Estratégicas - AIH";-;-;-;-;-;-;-;165180,00;428530,00;505550,00;654996,24;1754256,24
".. Angioplastia endovascular - SIH";-;-;-;-;-;-;82235,76;2621986,03;8130895,69;12946915,49;11365562,53;35147595,50
".. Assistência domiciliar - Ações Estratégicas SIA";-;-;-;-;-;-;8789,40;176050,20;376906,80;498319,65;599249,55;1659315,60
".. Assistência pré-natal - AIH";-;-;-;-;-;33920,00;786280,00;2245560,00;3612960,00;3590200,00;3226940,00;13495860,00
".. Cadastro Nac. de Estabelecimentos de Saúde - CN";-;-;-;-;-;-;-;5840,00;-;-;-;5840,00
".. Campanha de oftalmologia - Ações Estratégicas";-;-;-;-;-;5032381,45;10526459,77;3758024,46;-;948336,39;-;20265202,07
".. Central de Regulação - Ações Estratégicas";-;-;-;-;-;-;-;295066,98;8790236,56;18992564,09;18161724,75;46239592,38
".. Central de Regulação - Ações Estratétgicas - SI";-;-;-;-;-;-;-;-;228685,81;976642,05;795107,25;2000435,11
".. Cirurgias de alta freqüência - Ações Estratégic";-;-;-;-;-;188,50;-;-;-;-;-;188,50
".. Cirurgias eletivas - Ações Estratégicas";-;-;-;-;-;65723,92;4024876,32;-;-;-;-;4090600,24
".. Câncer de colo uterino - Ações Estratégicas";-;-;-;-;-;2900568,53;5689653,50;8526951,21;15796506,14;16413217,05;12785337,28;62112233,71
".. Defic. auditiva escolar - Ações Estratégicas -";-;-;-;-;-;2400,00;-;-;-;254238,50;-;256638,50
".. Deform. crânio-facial - Ações Estratégicas - SI";-;-;-;-;-;10788,00;19296,00;-;-;-;-;30084,00
".. Deformidade crânio-facial - Ações Estrategicas";-;-;-;-;-;104346,71;205010,81;6117162,63;13071132,47;14630595,59;9179307,41;43307555,62
".. Epilepsia - SIH";-;-;-;-;-;-;-;1615076,08;3570363,22;3605657,31;2565194,67;11356291,28
".. Fisioterapia -  - Ações Estratégicas SIA";-;-;-;-;-;-;46539,20;856173,16;1732393,04;2092689,88;1977394,44;6705189,72
".. Gastroplastia - Ações Estratégicas";-;-;-;-;-;117549,30;481153,36;1402186,55;2470024,34;2702745,50;2895526,08;10069185,13
".. Geriatria - Ações Estratégicas - AIH";-;-;-;-;-;-;-;122767,15;1084879,58;905135,46;722788,53;2835570,72
".. HIV/AIDS - Fórmula Infantil Adicional";-;-;-;-;-;-;-;782315,83;1135174,02;814503,93;148691,15;2880684,93
".. Histocompatibilidade - Ações Estratégicas";-;-;-;-;-;84112,03;-;-;-;-;-;84112,03
".. Humanização do parto - Ações Estratégicas";-;-;-;-;-;194210,00;442000,00;-;-;-;-;636210,00
".. Incentivo CNRAC - Ações Estratégicas - SIA";-;-;-;-;-;-;-;7801,14;34558,82;24720,00;188401,27;255481,23
".. Leptospirose - Ações Estratégicas";-;-;-;-;-;-;-;-;102957,67;-;-;102957,67
".. Leucemia mielóide - SIA";-;-;-;-;-;-;1742250,00;13238985,00;36738754,50;49284321,50;46151999,00;147156310,00
".. Multirão de Cirurgias Eletivas Média Complexida";-;-;-;-;-;-;-;-;110760,41;3289899,04;22911286,84;26311946,29
".. Neonatal - Ações Estratégicas- SIA";-;-;-;-;-;185177,50;1039068,50;3785852,50;10113265,50;10232078,00;8180168,50;33535610,50
".. Neuro CNRAC - AIH";-;-;-;-;-;-;54908,49;-;-;-;-;54908,49
".. Neurocirurgia - SIH";-;-;-;-;-;-;61214,11;952672,96;4024643,11;7378611,64;3691551,59;16108693,41
".. Ortodontia - Ações Estratégicas";-;-;-;-;-;2777,75;2727,37;1818627,57;4108658,76;4687566,43;3909039,38;14529397,26
".. Osteogenesis Imperfecta - AIH";-;-;-;-;-;-;-;-;-;17987,86;38874,13;56861,99
".. Pagamentos administrativos - Convencional - MAC";-;-;-;-;-;-;-;-;-;70000,00;-;70000,00
".. Patologia clínica - Ações Estratégicas SIA";-;-;-;-;-;-;209,32;573375,95;3126336,50;3518753,28;2593428,24;9812103,29
".. Prog Nac de Atenção a usuários de álcool e drog";-;-;-;-;-;-;950000,00;-;-;-;-;950000,00
".. Programa Nac. Avaliação Serviços de Saúde - PNA";-;-;-;-;-;-;-;-;-;57000,00;-;57000,00
".. Protetização - SIA";-;-;-;-;-;-;1637519,00;-;-;2610,00;-;1640129,00
".. Pré-natal - Ações Estratégicas";-;-;-;-;-;47000,00;513658,80;1706340,00;3437630,00;3800230,00;3515140,00;13019998,80
".. Próstata - Ações Estratégicas";-;-;-;-;-;636609,25;1251730,70;2093873,70;2100551,88;163713,65;19586,90;6266066,08
".. Próstata - Ações Estratégicas - AIH";-;-;-;-;-;-;-;-;391773,55;2320262,11;294199,27;3006234,93
".. Prótese Dentária - Ações Estratégicas - SIA";-;-;-;-;-;-;-;-;-;44010,00;177550,00;221560,00
".. Psicodiagnóstico - Ações Estratégicas SIA";-;-;-;-;-;-;14116,48;205949,28;332320,90;340212,10;229450,34;1122049,10
".. Queimados - Ações Estratégicas";-;-;-;-;-;353306,70;1169133,43;2107414,58;4244914,85;5000766,75;4568896,04;17444432,35
".. Reabilitação - Ações Estratégicas";-;-;-;-;-;424456,92;1172625,38;5892986,39;12619838,77;15040894,43;10883484,46;46034286,35
".. Registro Civil e Nascimento - AIH";-;-;-;-;-;-;52435,00;259760,00;420725,00;431405,00;345772,62;1510097,62
".. Retinopatia Diabética - Ações Estratégicas - AI";-;-;-;-;-;-;-;790895,70;1993753,23;3179617,95;409579,15;6373846,03
".. Retinopatia Diabética - Ações Estratégicas - SI";-;-;-;-;-;-;-;775214,30;2744178,37;3067912,47;415731,75;7003036,89
".. Tabagismo - Ações Estratégicas SIA";-;-;-;-;-;-;-;159469,46;900,00;14872,19;-;175241,65
".. Terapia e psicoterapia - Ações Estratégicas SIA";-;-;-;-;-;-;327591,79;4956241,40;7943925,38;8872300,67;7659212,87;29759272,11
".. Terapia renal substitutiva - SIA";-;-;-;-;-;-;20534044,90;137268234,26;280610836,16;300263314,62;279470558,51;1018146988,45
".. Transplantes - Ações Estratégicas";-;-;-;-;-;3285468,05;2788235,27;30028414,14;79629107,75;84510084,81;73875554,79;274116864,81
".. Transplantes - Ações Estratégicas - SIA";-;-;-;-;-;-;-;16930,26;651740,00;-;-;668670,26
".. Tuberculose - Ações Estratégicas";-;-;-;-;-;512039,40;820897,40;570463,40;1233837,60;1328108,20;1155903,00;5621249,00
".. Varizes - Ações Estratégicas";-;-;-;-;-;1259516,93;2462149,97;5082988,45;6195710,02;5456807,30;706878,22;21164050,89
".. Vistoria PNASCH - Ações Estratégicas";-;-;-;-;-;1020,00;13360,00;8700,00;-;-;-;23080,00
"Total";146170376,11;1944243330,39;2256129791,97;2814194380,21;3125394335,48;3670776249,03;4040955642,39;4328369624,33;4611679456,26;5119855631,05;5092565527,46;37150334344,68
 Fonte: Ministério da Saúde - SIH/SUS, SIA/SUS e Fundo Nacional de Saúde
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
