 Recursos Federais do SUS (por Município) - Conceito de Período de Competência - Mato Grosso do Sul
Valor despendido por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2006
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
".. Apoio à população indígena";-;-;-;-;-;-;-;-;-;5375480,00;6941400,00;12316880,00
".. Ações de diagnóstico laboratorial da tuberculos";-;-;-;-;-;-;-;-;-;12000,00;-;12000,00
".. Ações vigil e prevenção doenças agravos não tra";-;-;-;-;-;-;-;-;-;185597,00;-;185597,00
".. Cadastro nacional de usuários do SUS";-;-;-;-;-;63082,06;134629,44;154743,90;13215,70;30213,70;-;395884,80
".. Campanha de Vacinação - Tríplice Viral";-;-;-;-;-;-;-;-;60371,15;-;-;60371,15
".. Epidemiologia e controle de doenças";-;-;-;-;4772348,88;7527675,04;7581528,60;7843388,23;8241598,41;8461104,37;8915433,93;53343077,46
".. Epidemiologia e controle de doenças (adicional)";-;-;-;-;-;-;-;299602,27;602102,27;656838,84;602102,27;2160645,65
".. Farmácia básica";-;-;-;1584556,07;2004091,92;2063592,69;2105604,24;1949766,02;2135047,44;2776645,35;3286052,11;17905355,84
".. Financ aos Centros de Referência Saúde Trabalha";-;-;-;-;-;-;-;272000,00;504000,00;504000,00;850000,00;2130000,00
".. Formação Profissional Agentes Comunitários Saúd";-;-;-;-;-;-;-;-;-;1170750,00;935375,00;2106125,00
".. Inc. Fortalecimento Gestão de Vigilância em Saú";-;-;-;-;-;-;-;-;-;859056,66;590371,00;1449427,66
".. Inc. Hosp. Subsist. Vig. Ep. en Âmbito Hospital";-;-;-;-;-;-;-;-;-;-;37000,00;37000,00
".. Inc. Intens. Ações Vigilância Controle Hansenía";-;-;-;-;-;-;-;-;27000,00;50071,47;-;77071,47
".. Inc. Pesq. Acidentes Violências Serviços Sentin";-;-;-;-;-;-;-;-;-;-;21129,00;21129,00
".. Inc. Realiz. Levant. Índice Rápido - Aedes Aegy";-;-;-;-;-;-;-;-;14143,05;-;-;14143,05
".. Inc. adic. ao Prog. de Interior. do Trab em Saú";-;-;-;-;-;30000,00;-;-;-;-;-;30000,00
".. Inc. realiz. Capacitações Aprovadas no VIGISUS";-;-;-;-;-;-;-;-;-;366800,00;-;366800,00
".. Incent. Desenv. Ativ. Inq. Nac. Prev. do Tracom";-;-;-;-;-;-;-;-;-;-;15000,00;15000,00
".. Incent. Implantação dos Sistemas SIM e SINASC";-;-;-;-;-;-;-;-;26880,00;-;-;26880,00
".. Incentivo Estabelecimento de Parcerias com as O";-;-;-;-;-;-;-;-;-;112000,00;102666,63;214666,63
".. Incentivo Formação dos Agentes Comunitários Saú";-;-;-;-;-;-;-;-;-;126170,00;-;126170,00
".. Incentivo a ações básicas vigilância sanitária";-;-;365076,47;494686,27;504641,85;512021,55;527108,25;532655,94;539394,75;542603,94;677687,57;4695876,59
".. Incentivo adicional PACS";-;-;-;-;-;-;644160,00;699840,00;878800,00;1034100,00;1261050,00;4517950,00
".. Incentivo ações combate a carência nutricional";-;-;177997,50;1252215,00;1369395,00;1397182,50;769635,00;-;-;-;-;4966425,00
".. Incentivo fortalec lab centr saúde pública - LA";-;-;-;-;-;-;-;-;-;266244,00;532488,00;798732,00
".. Incentivo para Casa de Apoio HIV/AIDS";-;-;-;-;-;-;-;-;-;138000,00;115000,00;253000,00
".. Incentivo à Farmácia Popular do Brasil";-;-;-;-;-;-;-;-;-;100000,00;400000,00;500000,00
".. Incentivo à saúde bucal";-;-;-;-;-;515749,58;1149582,40;1764916,27;3934900,00;5425350,00;5909500,00;18699998,25
".. Incentivo às Ações de Controle da Tuberculose";-;-;-;-;-;-;-;1400,00;-;41228,76;17850,00;60478,76
".. Inserção dos Antigos Hospitais Colônias - SVS";-;-;-;-;-;-;-;-;-;-;230000,00;230000,00
".. Intensific Ações Vigilância e Controle da Tuber";-;-;-;-;-;-;-;151443,83;105798,59;15752,37;-;272994,79
".. Medicamentos dos Grupos AR 0,95";-;-;-;-;-;-;-;-;-;-;1412778,16;1412778,16
".. Medicamentos dos Grupos HD 1,15";-;-;-;-;-;-;-;-;-;-;1710205,04;1710205,04
".. Medicamentos para saúde mental";-;-;-;-;159123,93;386443,83;272783,88;272783,88;272783,88;272783,88;250051,89;1886755,17
".. Piso de Atenção Básica - ampliado";-;-;-;-;-;-;1306354,02;684722,51;-;-;-;1991076,53
".. Piso de atenção básica - fixo";-;-;18090774,41;19958332,87;20391164,95;20680940,40;19146886,16;22833046,02;25988606,40;28459083,75;28252793,40;203801628,36
".. Programa Farmácia Popular do Brasil";-;-;-;-;-;-;-;-;-;-;60000,00;60000,00
".. Programa Financ. Ações Alimentação Nutrição (FA";-;-;-;-;-;-;-;-;-;-;120000,00;120000,00
".. Programa agentes comunitários de saúde";-;-;1620099,91;3423016,16;4334266,86;4544866,42;6076800,03;7742000,00;9887580,00;11712600,00;12920850,00;62262079,38
".. Programa de Expansão do PROESF - PLUS";-;-;-;-;-;-;-;-;-;453500,00;-;453500,00
".. Programa de Expansão do PSF - PROESF";-;-;-;-;-;-;-;423000,00;604600,00;1138621,00;162404,93;2328625,93
".. Programa de Saúde da Família";-;-;102666,56;457065,91;2975742,00;5287787,00;9642462,00;12837852,00;17327741,00;16471544,00;20361569,00;85464429,47
".. Registro de Câncer de Base Populacional - RCBP";-;-;-;-;-;-;-;-;-;-;18000,00;18000,00
".. Sistema integrado saúde fronteiras - SISFRONTEI";-;-;-;-;-;-;-;-;-;152797,32;283353,72;436151,04
".. Vacinação poliomielite";-;-;-;-;-;154711,20;-;149183,30;148697,50;150602,90;155270,50;758465,40
"Transferências - ações estratégicas";-;-;-;-;-;2992904,97;12088577,40;22778861,92;25517433,30;28060940,91;23173669,52;114612388,02
".. AIDS - Ações Estratégicas";-;-;-;-;-;-;32313,00;62637,00;109626,00;120711,00;67218,00;392505,00
".. Acomp. Pac. Saúde Mental - Ações Estratégic. -";-;-;-;-;-;-;-;367738,25;391933,40;477751,40;836499,20;2073922,25
".. Acomp. de paciente - Ações Estratégicas - SIA";-;-;-;-;-;167305,00;2119901,15;3038627,65;4825878,14;4595196,42;1257691,57;16004599,93
".. Acomp. pós transplante - Ações Estratégicas";-;-;-;-;-;-;57645,00;157936,11;214332,50;344898,03;347923,28;1122734,92
".. Acompanh. a def. auditivo - Ações Estratégicas";-;-;-;-;-;542050,00;-;-;21436,00;724903,24;2505364,46;3793753,70
".. Aids - Ações Estratégicas - AIH";-;-;-;-;-;-;-;1400,00;-;13420,00;25825,00;40645,00
".. Angioplastia endovascular - SIH";-;-;-;-;-;-;7804,21;279180,09;310463,37;873621,53;449505,46;1920574,66
".. Assistência domiciliar - Ações Estratégicas SIA";-;-;-;-;-;-;809,40;9920,85;12608,40;17898,00;10855,65;52092,30
".. Assistência pré-natal - AIH";-;-;-;-;-;-;71680,00;316240,00;373120,00;381480,00;350880,00;1493400,00
".. Cadastro Nac. de Estabelecimentos de Saúde - CN";-;-;-;-;-;-;-;660,00;-;-;-;660,00
".. Campanha de oftalmologia - Ações Estratégicas";-;-;-;-;-;638867,93;1156510,50;23922,00;-;-;-;1819300,43
".. Catarata - Ações Estratégicas - AIH";-;-;-;-;-;-;-;3544,00;-;-;-;3544,00
".. Central de Regulação - Ações Estratégicas";-;-;-;-;-;-;83071,15;473596,83;186118,58;111139,09;108995,92;962921,57
".. Central de Regulação - Ações Estratétgicas - SI";-;-;-;-;-;-;-;-;3496,96;2612,15;2137,72;8246,83
".. Cirurgias de alta freqüência - Ações Estratégic";-;-;-;-;-;961,35;-;-;-;-;-;961,35
".. Cirurgias eletivas - Ações Estratégicas";-;-;-;-;-;-;45791,27;-;-;-;-;45791,27
".. Câncer de colo uterino - Ações Estratégicas";-;-;-;-;-;44127,50;340264,12;961654,56;1031473,03;1039710,15;827562,32;4244791,68
".. Fisioterapia -  - Ações Estratégicas SIA";-;-;-;-;-;-;5453,96;54180,88;86602,56;93838,32;77448,12;317523,84
".. Gastroplastia - Ações Estratégicas";-;-;-;-;-;-;75945,54;369784,67;217320,88;183533,01;197515,76;1044099,86
".. HIV/AIDS - Fórmula Infantil Adicional";-;-;-;-;-;-;-;23068,41;23068,41;23068,41;23068,41;92273,64
".. Humanização do parto - Ações Estratégicas";-;-;-;-;-;-;2500,00;-;-;-;-;2500,00
".. Incent Desenv Ações Conting Leishmaniose Viscer";-;-;-;-;-;-;-;550800,00;1225800,00;1050000,00;-;2826600,00
".. Incentivo CNRAC - Ações Estratégicas - SIA";-;-;-;-;-;-;-;7996,46;3763,04;-;-;11759,50
".. Leucemia mielóide - SIA";-;-;-;-;-;-;223532,00;388220,00;398413,00;447268,00;467620,00;1925053,00
".. Multirão de Cirurgias Eletivas Média Complexida";-;-;-;-;-;-;-;-;-;470612,78;568827,66;1039440,44
".. Neonatal - Ações Estratégicas- SIA";-;-;-;-;-;61325,00;463367,00;521065,50;738432,00;731072,00;540292,00;3055553,50
".. Neuro CNRAC - AIH";-;-;-;-;-;-;212395,69;-;-;-;-;212395,69
".. Neurocirurgia - SIH";-;-;-;-;-;-;85118,71;629150,61;434224,91;230931,70;133646,02;1513071,95
".. Ortodontia - Ações Estratégicas";-;-;-;-;-;118003,61;259723,63;214422,22;253529,00;259497,59;235272,73;1340448,78
".. Patologia clínica - Ações Estratégicas SIA";-;-;-;-;-;-;-;-;44867,20;40124,24;55898,88;140890,32
".. Programa Nac. Avaliação Serviços de Saúde - PNA";-;-;-;-;-;-;-;-;-;5920,00;-;5920,00
".. Protetização - SIA";-;-;-;-;-;-;64640,00;-;-;-;-;64640,00
".. Pré-natal - Ações Estratégicas";-;-;-;-;-;-;31600,00;141610,00;192530,00;229610,00;203430,00;798780,00
".. Próstata - Ações Estratégicas";-;-;-;-;-;184231,37;418312,14;547857,43;562797,90;445079,70;76553,95;2234832,49
".. Próstata - Ações Estratégicas - AIH";-;-;-;-;-;-;-;-;53404,16;251084,20;46209,69;350698,05
".. Prótese Dentária - Ações Estratégicas - SIA";-;-;-;-;-;-;-;-;-;8190,00;33380,00;41570,00
".. Psicodiagnóstico - Ações Estratégicas SIA";-;-;-;-;-;-;156,18;4542,92;8096,70;10017,44;7189,76;30003,00
".. Queimados - Ações Estratégicas";-;-;-;-;-;26415,97;299819,32;477856,08;515610,29;430887,04;377708,02;2128296,72
".. Reabilitação - Ações Estratégicas";-;-;-;-;-;-;-;-;18718,70;81336,50;199545,15;299600,35
".. Registro Civil e Nascimento - AIH";-;-;-;-;-;-;1620,00;25210,00;29925,00;30645,00;20720,00;108120,00
".. Retinopatia Diabética - Ações Estratégicas - AI";-;-;-;-;-;-;-;14585,72;17779,19;33328,61;5398,95;71092,47
".. Retinopatia Diabética - Ações Estratégicas - SI";-;-;-;-;-;-;-;38773,35;78086,68;64605,52;11602,36;193067,91
".. Síndr. Resp. Aguda Grave - Ações Estratégic. -";-;-;-;-;-;-;-;100000,00;-;-;-;100000,00
".. Terapia e psicoterapia - Ações Estratégicas SIA";-;-;-;-;-;-;19196,41;259595,43;333715,11;406344,37;304103,31;1322954,63
".. Terapia renal substitutiva - SIA";-;-;-;-;-;-;4318989,30;10358817,34;11004036,56;12418577,93;11951552,26;50051973,39
".. Transplantes - Ações Estratégicas";-;-;-;-;-;995626,59;1201543,00;1642736,11;1217175,43;1065847,70;750367,38;6873296,21
".. Tuberculose - Ações Estratégicas";-;-;-;-;-;21030,60;27253,80;42147,00;48417,60;60047,40;46195,80;245092,20
".. Varizes - Ações Estratégicas";-;-;-;-;-;192900,05;461620,92;669384,45;530632,60;286132,44;49664,73;2190335,19
".. Vistoria PNASCH - Ações Estratégicas";-;-;-;-;-;60,00;-;-;-;-;-;60,00
"Total";7413569,78;94317715,14;103922582,60;116702708,71;134135113,97;166059976,16;182481152,86;214375218,52;247121376,81;292551049,22;315582709,23;1874663173,00
 Fonte: Ministério da Saúde - SIH/SUS, SIA/SUS e Fundo Nacional de Saúde
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
