 Recursos Federais do SUS (por Município) - Conceito de Período de Competência - Rio Grande do Sul
Valor despendido por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2006
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
".. Registro de Câncer de Base Populacional - RCBP";-;-;-;-;-;-;-;-;-;-;32000,00;32000,00
".. Sistema integrado saúde fronteiras - SISFRONTEI";-;-;-;-;-;-;-;-;-;204150,96;881272,08;1085423,04
".. Vacinação poliomielite";-;-;-;-;-;268944,30;-;265185,30;254220,00;254231,40;175969,30;1218550,30
"Transferências - ações estratégicas";-;-;-;-;-;13896421,21;39787983,02;82791707,10;132637804,61;153737965,20;137713508,37;560565389,51
".. AIDS - Ações Estratégicas";-;-;-;-;-;80748,00;133227,00;179508,00;414894,00;398793,00;244548,00;1451718,00
".. Acomp. Pac. Saúde Mental - Ações Estratégic. -";-;-;-;-;-;-;-;3050557,60;9591370,45;11762407,95;10378352,90;34782688,90
".. Acomp. de paciente - Ações Estratégicas - SIA";-;-;-;-;-;265,00;429661,35;315690,60;555938,03;321527,81;968315,60;2591398,39
".. Acomp. pós transplante - Ações Estratégicas";-;-;-;-;-;1029938,59;1972627,57;2533558,07;3627264,58;4485328,27;4285723,14;17934440,22
".. Acompanh. a def. auditivo - Ações Estratégicas";-;-;-;-;-;252,00;1056,00;-;-;567404,91;2228219,83;2796932,74
".. Aids - Ações Estratégicas - AIH";-;-;-;-;-;-;-;9300,00;66030,00;147090,00;204545,00;426965,00
".. Angioplastia endovascular - SIH";-;-;-;-;-;-;22659,18;465696,07;1552974,46;2508921,92;2903311,80;7453563,43
".. Assistência domiciliar - Ações Estratégicas SIA";-;-;-;-;-;-;387,60;13609,15;55032,57;94284,24;120392,78;283706,34
".. Assistência pré-natal - AIH";-;-;-;-;-;-;13360,00;268240,00;621320,00;837160,00;1114840,00;2854920,00
".. Cadastro Nac. de Estabelecimentos de Saúde - CN";-;-;-;-;-;-;-;700,00;-;-;-;700,00
".. Campanha de oftalmologia - Ações Estratégicas";-;-;-;-;-;1390196,55;2235437,89;585288,60;-;-;-;4210923,04
".. Central de Regulação - Ações Estratégicas";-;-;-;-;-;-;-;547237,42;706794,09;682104,64;634918,91;2571055,06
".. Central de Regulação - Ações Estratétgicas - SI";-;-;-;-;-;-;-;-;470,38;-;-;470,38
".. Cirurgias de alta freqüência - Ações Estratégic";-;-;-;-;-;2186,60;-;-;-;-;-;2186,60
".. Câncer de colo uterino - Ações Estratégicas";-;-;-;-;-;1145833,05;2266559,49;2207996,93;3776451,40;4012143,61;3185890,51;16594874,99
".. Defic. auditiva escolar - Ações Estratégicas -";-;-;-;-;-;420,00;216,00;-;-;264,50;-;900,50
".. Deform. crânio-facial - Ações Estratégicas - SI";-;-;-;-;-;552,00;612,00;-;-;-;-;1164,00
".. Deformidade crânio-facial - Ações Estrategicas";-;-;-;-;-;14607,90;18121,70;179245,68;225578,75;369295,47;195109,92;1001959,42
".. Epilepsia - SIH";-;-;-;-;-;-;498482,31;426985,20;679905,83;678034,18;605483,40;2888890,92
".. Fisioterapia -  - Ações Estratégicas SIA";-;-;-;-;-;-;4013,20;55071,24;116880,36;145659,52;146447,56;468071,88
".. Gastroplastia - Ações Estratégicas";-;-;-;-;-;-;60013,56;60168,49;74910,57;122544,84;135186,45;452823,91
".. HIV/AIDS - Fórmula Infantil Adicional";-;-;-;-;-;-;-;104097,93;312293,79;312293,79;312293,79;1040979,30
".. Histocompatibilidade - Ações Estratégicas";-;-;-;-;-;332675,00;-;-;-;-;-;332675,00
".. Humanização do parto - Ações Estratégicas";-;-;-;-;-;-;7330,00;65,00;-;-;-;7395,00
".. Incentivo CNRAC - Ações Estratégicas - SIA";-;-;-;-;-;-;-;470,38;-;-;1200,00;1670,38
".. Leucemia mielóide - SIA";-;-;-;-;-;-;1134158,00;1835927,00;3992594,00;5004078,00;4620201,00;16586958,00
".. Multirão de Cirurgias Eletivas Média Complexida";-;-;-;-;-;-;-;-;-;6218078,40;7684970,45;13903048,85
".. Neonatal - Ações Estratégicas- SIA";-;-;-;-;-;141,00;2002304,50;1873367,50;2245216,50;2195692,50;1613451,00;9930173,00
".. Neuro CNRAC - AIH";-;-;-;-;-;-;218062,39;-;-;-;-;218062,39
".. Neurocirurgia - SIH";-;-;-;-;-;-;862161,55;2425710,37;2558578,99;5426618,75;2879538,65;14152608,31
".. Ortodontia - Ações Estratégicas";-;-;-;-;-;-;-;19106,38;106387,16;174993,77;133521,45;434008,76
".. Osteogenesis Imperfecta - AIH";-;-;-;-;-;-;-;-;-;0,12;6,50;6,62
".. Patologia clínica - Ações Estratégicas SIA";-;-;-;-;-;-;18307,23;205414,00;578897,12;770972,80;747914,88;2321506,03
".. Programa Nac. Avaliação Serviços de Saúde - PNA";-;-;-;-;-;-;-;-;-;24400,00;-;24400,00
".. Protetização - SIA";-;-;-;-;-;-;192690,00;-;-;-;-;192690,00
".. Pré-natal - Ações Estratégicas";-;-;-;-;-;50,00;46970,00;152650,00;426140,00;746810,00;848090,00;2220710,00
".. Próstata - Ações Estratégicas";-;-;-;-;-;360752,99;649529,98;690854,08;1008308,69;3246,09;550,99;2713242,82
".. Próstata - Ações Estratégicas - AIH";-;-;-;-;-;-;-;-;153324,75;900567,56;145085,28;1198977,59
".. Psicodiagnóstico - Ações Estratégicas SIA";-;-;-;-;-;-;1745,38;10874,04;14117,42;16106,74;21569,74;64413,32
".. Queimados - Ações Estratégicas";-;-;-;-;-;348182,99;555089,41;325266,50;436557,02;389785,36;296399,00;2351280,28
".. Reabilitação - Ações Estratégicas";-;-;-;-;-;51340,17;157556,60;80917,50;266788,80;753278,65;687744,40;1997626,12
".. Registro Civil e Nascimento - AIH";-;-;-;-;-;-;1665,00;27910,00;55985,00;63705,00;43795,04;193060,04
".. Retinopatia Diabética - Ações Estratégicas - AI";-;-;-;-;-;-;-;35124,81;70965,12;80381,66;13551,75;200023,34
".. Retinopatia Diabética - Ações Estratégicas - SI";-;-;-;-;-;-;-;45920,00;144217,08;125380,53;16646,07;332163,68
".. Tabagismo - Ações Estratégicas SIA";-;-;-;-;-;-;-;15895,31;2527,80;1813,30;-;20236,41
".. Terapia e psicoterapia - Ações Estratégicas SIA";-;-;-;-;-;-;30560,05;510493,80;836209,52;1066201,93;1093409,61;3536874,91
".. Terapia renal substitutiva - SIA";-;-;-;-;-;-;14259530,61;48601193,33;79824571,22;85067356,23;78297575,52;306050226,91
".. Transplantes - Ações Estratégicas";-;-;-;-;-;8841236,78;11456622,02;14054594,77;15251732,22;15911658,50;10488351,28;76004195,57
".. Transplantes - Ações Estratégicas - SIA";-;-;-;-;-;-;-;3670,55;24880,00;-;-;28550,55
".. Tuberculose - Ações Estratégicas";-;-;-;-;-;123949,20;183943,40;94108,40;225995,75;222974,00;214788,00;1065758,75
".. Varizes - Ações Estratégicas";-;-;-;-;-;173053,39;353322,05;779222,40;2035701,19;1128606,66;201568,17;4671473,86
".. Vistoria PNASCH - Ações Estratégicas";-;-;-;-;-;40,00;-;-;-;-;-;40,00
"Total";41818334,27;526776056,29;622238110,71;708962521,87;794391447,45;892760273,21;917759411,26;961268487,80;1009416400,95;1088572447,45;1142259096,68;8706222587,94
 Fonte: Ministério da Saúde - SIH/SUS, SIA/SUS e Fundo Nacional de Saúde
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
